1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 21000000337C7A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:47:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:07:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10659
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:07:01 PM,%RH,101.919
04/08/14 08:27:01 PM,%RH,102.905
04/08/14 08:47:01 PM,%RH,102.905
04/08/14 09:07:01 PM,%RH,101.919
04/08/14 09:27:01 PM,%RH,102.905
04/08/14 09:47:01 PM,%RH,103.397
04/08/14 10:07:01 PM,%RH,102.905
04/08/14 10:27:01 PM,%RH,103.397
04/08/14 10:47:01 PM,%RH,103.397
04/08/14 11:07:01 PM,%RH,103.397
04/08/14 11:27:01 PM,%RH,103.397
04/08/14 11:47:01 PM,%RH,103.397
05/08/14 12:07:01 AM,%RH,103.397
05/08/14 12:27:01 AM,%RH,103.886
05/08/14 12:47:01 AM,%RH,103.886
05/08/14 01:07:01 AM,%RH,102.905
05/08/14 01:27:01 AM,%RH,103.397
05/08/14 01:47:01 AM,%RH,103.397
05/08/14 02:07:01 AM,%RH,103.397
05/08/14 02:27:01 AM,%RH,103.886
05/08/14 02:47:01 AM,%RH,103.397
05/08/14 03:07:01 AM,%RH,103.886
05/08/14 03:27:01 AM,%RH,103.886
05/08/14 03:47:01 AM,%RH,103.397
05/08/14 04:07:01 AM,%RH,104.862
05/08/14 04:27:01 AM,%RH,103.886
05/08/14 04:47:01 AM,%RH,104.862
05/08/14 05:07:01 AM,%RH,103.397
05/08/14 05:27:01 AM,%RH,103.397
05/08/14 05:47:01 AM,%RH,102.905
05/08/14 06:07:01 AM,%RH,103.886
05/08/14 06:27:01 AM,%RH,103.397
05/08/14 06:47:01 AM,%RH,103.886
05/08/14 07:07:01 AM,%RH,102.905
05/08/14 07:27:01 AM,%RH,103.886
05/08/14 07:47:01 AM,%RH,101.919
05/08/14 08:07:01 AM,%RH,101.423
05/08/14 08:27:01 AM,%RH,100.429
05/08/14 08:47:01 AM,%RH,96.394
05/08/14 09:07:01 AM,%RH,93.827
05/08/14 09:27:01 AM,%RH,82.124
05/08/14 09:47:01 AM,%RH,72.624
05/08/14 10:07:01 AM,%RH,62.724
05/08/14 10:27:01 AM,%RH,68.015
05/08/14 10:47:01 AM,%RH,65.089
05/08/14 11:07:01 AM,%RH,72.052
05/08/14 11:27:01 AM,%RH,72.624
05/08/14 11:47:01 AM,%RH,65.677
05/08/14 12:07:01 PM,%RH,66.263
05/08/14 12:27:01 PM,%RH,77.703
05/08/14 12:47:01 PM,%RH,68.015
05/08/14 01:07:01 PM,%RH,66.848
05/08/14 01:27:01 PM,%RH,72.052
05/08/14 01:47:01 PM,%RH,79.371
05/08/14 02:07:01 PM,%RH,76.022
05/08/14 02:27:01 PM,%RH,71.48
05/08/14 02:47:01 PM,%RH,63.317
05/08/14 03:07:01 PM,%RH,64.5
05/08/14 03:27:01 PM,%RH,68.595
05/08/14 03:47:01 PM,%RH,75.459
05/08/14 04:07:01 PM,%RH,82.124
05/08/14 04:27:01 PM,%RH,85.921
05/08/14 04:47:01 PM,%RH,86.993
05/08/14 05:07:01 PM,%RH,89.12
05/08/14 05:27:01 PM,%RH,90.702
05/08/14 05:47:01 PM,%RH,94.343
05/08/14 06:07:01 PM,%RH,96.394
05/08/14 06:27:01 PM,%RH,97.917
05/08/14 06:47:01 PM,%RH,97.917
05/08/14 07:07:01 PM,%RH,98.926
05/08/14 07:27:01 PM,%RH,98.422
05/08/14 07:47:01 PM,%RH,98.926
05/08/14 08:07:01 PM,%RH,99.929
05/08/14 08:27:01 PM,%RH,100.927
05/08/14 08:47:01 PM,%RH,100.927
05/08/14 09:07:01 PM,%RH,100.429
05/08/14 09:27:01 PM,%RH,99.428
05/08/14 09:47:01 PM,%RH,100.429
05/08/14 10:07:01 PM,%RH,98.422
05/08/14 10:27:01 PM,%RH,99.428
05/08/14 10:47:01 PM,%RH,99.428
05/08/14 11:07:01 PM,%RH,99.929
05/08/14 11:27:01 PM,%RH,100.429
05/08/14 11:47:01 PM,%RH,99.929
06/08/14 12:07:01 AM,%RH,99.929
06/08/14 12:27:01 AM,%RH,100.429
06/08/14 12:47:01 AM,%RH,100.927
06/08/14 01:07:01 AM,%RH,101.919
06/08/14 01:27:01 AM,%RH,101.423
06/08/14 01:47:01 AM,%RH,101.919
06/08/14 02:07:01 AM,%RH,101.919
06/08/14 02:27:01 AM,%RH,102.413
06/08/14 02:47:01 AM,%RH,102.413
06/08/14 03:07:01 AM,%RH,102.413
06/08/14 03:27:01 AM,%RH,101.919
06/08/14 03:47:01 AM,%RH,101.919
06/08/14 04:07:01 AM,%RH,102.413
06/08/14 04:27:01 AM,%RH,101.919
06/08/14 04:47:01 AM,%RH,103.397
06/08/14 05:07:01 AM,%RH,103.886
06/08/14 05:27:01 AM,%RH,102.413
06/08/14 05:47:01 AM,%RH,102.413
06/08/14 06:07:01 AM,%RH,101.919
06/08/14 06:27:01 AM,%RH,101.423
06/08/14 06:47:01 AM,%RH,101.919
06/08/14 07:07:01 AM,%RH,101.919
06/08/14 07:27:01 AM,%RH,101.919
06/08/14 07:47:01 AM,%RH,102.413
06/08/14 08:07:01 AM,%RH,101.919
06/08/14 08:27:01 AM,%RH,102.413
06/08/14 08:47:01 AM,%RH,102.413
06/08/14 09:07:01 AM,%RH,101.423
06/08/14 09:27:01 AM,%RH,100.927
06/08/14 09:47:01 AM,%RH,99.929
06/08/14 10:07:01 AM,%RH,97.917
06/08/14 10:27:01 AM,%RH,93.827
06/08/14 10:47:01 AM,%RH,90.702
06/08/14 11:07:01 AM,%RH,84.843
06/08/14 11:27:01 AM,%RH,81.027
06/08/14 11:47:01 AM,%RH,69.753
06/08/14 12:07:01 PM,%RH,68.595
06/08/14 12:27:01 PM,%RH,76.584
06/08/14 12:47:01 PM,%RH,83.216
06/08/14 01:07:01 PM,%RH,82.124
06/08/14 01:27:01 PM,%RH,84.843
06/08/14 01:47:01 PM,%RH,72.624
06/08/14 02:07:01 PM,%RH,77.703
06/08/14 02:27:01 PM,%RH,83.76
06/08/14 02:47:01 PM,%RH,81.577
06/08/14 03:07:01 PM,%RH,78.261
06/08/14 03:27:01 PM,%RH,82.124
06/08/14 03:47:01 PM,%RH,83.216
06/08/14 04:07:01 PM,%RH,83.76
06/08/14 04:27:01 PM,%RH,86.993
06/08/14 04:47:01 PM,%RH,91.226
06/08/14 05:07:01 PM,%RH,92.271
06/08/14 05:27:01 PM,%RH,93.827
06/08/14 05:47:01 PM,%RH,95.883
06/08/14 06:07:01 PM,%RH,98.422
06/08/14 06:27:01 PM,%RH,100.927
06/08/14 06:47:01 PM,%RH,98.926
06/08/14 07:07:01 PM,%RH,99.929
06/08/14 07:27:01 PM,%RH,100.927
06/08/14 07:47:01 PM,%RH,99.929
06/08/14 08:07:01 PM,%RH,99.428
06/08/14 08:27:01 PM,%RH,100.429
06/08/14 08:47:01 PM,%RH,100.429
06/08/14 09:07:01 PM,%RH,100.429
06/08/14 09:27:01 PM,%RH,100.927
06/08/14 09:47:01 PM,%RH,101.423
06/08/14 10:07:01 PM,%RH,101.423
06/08/14 10:27:01 PM,%RH,102.413
06/08/14 10:47:01 PM,%RH,102.413
06/08/14 11:07:01 PM,%RH,101.919
06/08/14 11:27:01 PM,%RH,101.919
06/08/14 11:47:01 PM,%RH,101.919
07/08/14 12:07:01 AM,%RH,102.413
07/08/14 12:27:01 AM,%RH,102.413
07/08/14 12:47:01 AM,%RH,102.905
07/08/14 01:07:01 AM,%RH,102.413
07/08/14 01:27:01 AM,%RH,102.413
07/08/14 01:47:01 AM,%RH,102.413
07/08/14 02:07:01 AM,%RH,102.413
07/08/14 02:27:01 AM,%RH,102.905
07/08/14 02:47:01 AM,%RH,102.905
07/08/14 03:07:01 AM,%RH,102.905
07/08/14 03:27:01 AM,%RH,102.905
07/08/14 03:47:01 AM,%RH,102.905
07/08/14 04:07:01 AM,%RH,102.905
07/08/14 04:27:01 AM,%RH,102.905
07/08/14 04:47:01 AM,%RH,103.397
07/08/14 05:07:01 AM,%RH,103.397
07/08/14 05:27:01 AM,%RH,103.397
07/08/14 05:47:01 AM,%RH,103.397
07/08/14 06:07:01 AM,%RH,103.397
07/08/14 06:27:01 AM,%RH,103.886
07/08/14 06:47:01 AM,%RH,102.413
07/08/14 07:07:01 AM,%RH,102.413
07/08/14 07:27:01 AM,%RH,100.927
07/08/14 07:47:01 AM,%RH,94.343
07/08/14 08:07:01 AM,%RH,88.591
07/08/14 08:27:01 AM,%RH,80.477
07/08/14 08:47:01 AM,%RH,76.584
07/08/14 09:07:01 AM,%RH,76.584
07/08/14 09:27:01 AM,%RH,78.261
07/08/14 09:47:01 AM,%RH,74.329
07/08/14 10:07:01 AM,%RH,73.762
07/08/14 10:27:01 AM,%RH,70.33
07/08/14 10:47:01 AM,%RH,65.089
07/08/14 11:07:01 AM,%RH,68.595
07/08/14 11:27:01 AM,%RH,66.263
07/08/14 11:47:01 AM,%RH,62.724
07/08/14 12:07:01 PM,%RH,63.317
07/08/14 12:27:01 PM,%RH,66.848
07/08/14 12:47:01 PM,%RH,65.677
07/08/14 01:07:01 PM,%RH,65.089
07/08/14 01:27:01 PM,%RH,66.263
07/08/14 01:47:01 PM,%RH,65.677
07/08/14 02:07:01 PM,%RH,74.895
07/08/14 02:27:01 PM,%RH,74.329
07/08/14 02:47:01 PM,%RH,69.753
07/08/14 03:07:01 PM,%RH,65.677
07/08/14 03:27:01 PM,%RH,66.263
07/08/14 03:47:01 PM,%RH,72.624
07/08/14 04:07:01 PM,%RH,76.584
07/08/14 04:27:01 PM,%RH,79.371
07/08/14 04:47:01 PM,%RH,86.457
07/08/14 05:07:01 PM,%RH,89.649
07/08/14 05:27:01 PM,%RH,91.226
07/08/14 05:47:01 PM,%RH,94.343
07/08/14 06:07:01 PM,%RH,96.903
07/08/14 06:27:01 PM,%RH,98.926
07/08/14 06:47:01 PM,%RH,100.429
07/08/14 07:07:01 PM,%RH,98.926
07/08/14 07:27:01 PM,%RH,97.917
07/08/14 07:47:01 PM,%RH,99.428
07/08/14 08:07:01 PM,%RH,100.429
07/08/14 08:27:01 PM,%RH,98.926
07/08/14 08:47:01 PM,%RH,98.422
07/08/14 09:07:01 PM,%RH,99.428
07/08/14 09:27:01 PM,%RH,99.428
07/08/14 09:47:01 PM,%RH,100.429
07/08/14 10:07:01 PM,%RH,100.927
07/08/14 10:27:01 PM,%RH,100.927
07/08/14 10:47:01 PM,%RH,100.927
07/08/14 11:07:01 PM,%RH,100.429
07/08/14 11:27:01 PM,%RH,101.423
07/08/14 11:47:01 PM,%RH,100.927
08/08/14 12:07:01 AM,%RH,99.929
08/08/14 12:27:01 AM,%RH,100.927
08/08/14 12:47:01 AM,%RH,101.423
08/08/14 01:07:01 AM,%RH,101.423
08/08/14 01:27:01 AM,%RH,101.423
08/08/14 01:47:01 AM,%RH,101.919
08/08/14 02:07:01 AM,%RH,101.423
08/08/14 02:27:01 AM,%RH,103.886
08/08/14 02:47:01 AM,%RH,101.423
08/08/14 03:07:01 AM,%RH,102.413
08/08/14 03:27:01 AM,%RH,102.413
08/08/14 03:47:01 AM,%RH,101.919
08/08/14 04:07:01 AM,%RH,102.905
08/08/14 04:27:01 AM,%RH,103.397
08/08/14 04:47:01 AM,%RH,102.905
08/08/14 05:07:01 AM,%RH,103.397
08/08/14 05:27:01 AM,%RH,101.423
08/08/14 05:47:01 AM,%RH,102.905
08/08/14 06:07:01 AM,%RH,102.413
08/08/14 06:27:01 AM,%RH,102.905
08/08/14 06:47:01 AM,%RH,102.905
08/08/14 07:07:01 AM,%RH,102.413
08/08/14 07:27:01 AM,%RH,101.919
08/08/14 07:47:01 AM,%RH,102.905
08/08/14 08:07:01 AM,%RH,101.919
08/08/14 08:27:01 AM,%RH,102.413
08/08/14 08:47:01 AM,%RH,102.905
08/08/14 09:07:01 AM,%RH,102.413
08/08/14 09:27:01 AM,%RH,103.397
08/08/14 09:47:01 AM,%RH,102.413
08/08/14 10:07:01 AM,%RH,102.905
08/08/14 10:27:01 AM,%RH,101.919
08/08/14 10:47:01 AM,%RH,102.413
08/08/14 11:07:01 AM,%RH,102.413
08/08/14 11:27:01 AM,%RH,101.423
08/08/14 11:47:01 AM,%RH,100.927
08/08/14 12:07:01 PM,%RH,101.919
08/08/14 12:27:01 PM,%RH,101.423
08/08/14 12:47:01 PM,%RH,102.413
08/08/14 01:07:01 PM,%RH,100.429
08/08/14 01:27:01 PM,%RH,98.926
08/08/14 01:47:01 PM,%RH,98.926
08/08/14 02:07:01 PM,%RH,99.428
08/08/14 02:27:01 PM,%RH,98.422
08/08/14 02:47:01 PM,%RH,99.929
08/08/14 03:07:01 PM,%RH,100.429
08/08/14 03:27:01 PM,%RH,100.927
08/08/14 03:47:01 PM,%RH,101.423
08/08/14 04:07:01 PM,%RH,101.919
08/08/14 04:27:01 PM,%RH,101.919
08/08/14 04:47:01 PM,%RH,101.919
08/08/14 05:07:01 PM,%RH,102.413
08/08/14 05:27:01 PM,%RH,101.423
08/08/14 05:47:01 PM,%RH,102.905
08/08/14 06:07:01 PM,%RH,102.413
08/08/14 06:27:01 PM,%RH,102.905
08/08/14 06:47:01 PM,%RH,101.919
08/08/14 07:07:01 PM,%RH,101.423
08/08/14 07:27:01 PM,%RH,102.413
08/08/14 07:47:01 PM,%RH,102.905
08/08/14 08:07:01 PM,%RH,102.905
08/08/14 08:27:01 PM,%RH,102.905
08/08/14 08:47:01 PM,%RH,102.905
08/08/14 09:07:01 PM,%RH,102.413
08/08/14 09:27:01 PM,%RH,102.413
08/08/14 09:47:01 PM,%RH,103.397
08/08/14 10:07:01 PM,%RH,103.886
08/08/14 10:27:01 PM,%RH,102.905
08/08/14 10:47:01 PM,%RH,103.397
08/08/14 11:07:01 PM,%RH,103.397
08/08/14 11:27:01 PM,%RH,103.397
08/08/14 11:47:01 PM,%RH,103.397
09/08/14 12:07:01 AM,%RH,103.886
09/08/14 12:27:01 AM,%RH,103.886
09/08/14 12:47:01 AM,%RH,103.886
09/08/14 01:07:01 AM,%RH,103.886
09/08/14 01:27:01 AM,%RH,103.397
09/08/14 01:47:01 AM,%RH,103.886
09/08/14 02:07:01 AM,%RH,103.886
09/08/14 02:27:01 AM,%RH,103.886
09/08/14 02:47:01 AM,%RH,103.886
09/08/14 03:07:01 AM,%RH,103.886
09/08/14 03:27:01 AM,%RH,103.886
09/08/14 03:47:01 AM,%RH,103.886
09/08/14 04:07:01 AM,%RH,102.905
09/08/14 04:27:01 AM,%RH,103.886
09/08/14 04:47:01 AM,%RH,104.862
09/08/14 05:07:01 AM,%RH,104.862
09/08/14 05:27:01 AM,%RH,103.397
09/08/14 05:47:01 AM,%RH,104.375
09/08/14 06:07:01 AM,%RH,103.886
09/08/14 06:27:01 AM,%RH,104.375
09/08/14 06:47:01 AM,%RH,102.905
09/08/14 07:07:01 AM,%RH,103.397
09/08/14 07:27:01 AM,%RH,102.905
09/08/14 07:47:01 AM,%RH,103.886
09/08/14 08:07:01 AM,%RH,102.905
09/08/14 08:27:01 AM,%RH,101.423
09/08/14 08:47:01 AM,%RH,98.422
09/08/14 09:07:01 AM,%RH,97.411
09/08/14 09:27:01 AM,%RH,91.226
09/08/14 09:47:01 AM,%RH,83.76
09/08/14 10:07:01 AM,%RH,82.124
09/08/14 10:27:01 AM,%RH,82.671
09/08/14 10:47:01 AM,%RH,70.33
09/08/14 11:07:01 AM,%RH,64.5
09/08/14 11:27:01 AM,%RH,56.105
09/08/14 11:47:01 AM,%RH,53.657
09/08/14 12:07:01 PM,%RH,56.714
09/08/14 12:27:01 PM,%RH,60.336
09/08/14 12:47:01 PM,%RH,52.425
09/08/14 01:07:01 PM,%RH,63.909
09/08/14 01:27:01 PM,%RH,70.33
09/08/14 01:47:01 PM,%RH,70.33
09/08/14 02:07:01 PM,%RH,76.584
09/08/14 02:27:01 PM,%RH,77.144
09/08/14 02:47:01 PM,%RH,80.477
09/08/14 03:07:01 PM,%RH,83.76
09/08/14 03:27:01 PM,%RH,89.649
09/08/14 03:47:01 PM,%RH,84.843
09/08/14 04:07:01 PM,%RH,86.993
09/08/14 04:27:01 PM,%RH,90.176
09/08/14 04:47:01 PM,%RH,92.271
09/08/14 05:07:01 PM,%RH,94.858
09/08/14 05:27:01 PM,%RH,95.371
09/08/14 05:47:01 PM,%RH,95.883
09/08/14 06:07:01 PM,%RH,97.411
09/08/14 06:27:01 PM,%RH,97.411
09/08/14 06:47:01 PM,%RH,99.428
09/08/14 07:07:01 PM,%RH,98.926
09/08/14 07:27:01 PM,%RH,98.926
09/08/14 07:47:01 PM,%RH,99.428
09/08/14 08:07:01 PM,%RH,98.422
09/08/14 08:27:01 PM,%RH,99.929
09/08/14 08:47:01 PM,%RH,98.926
09/08/14 09:07:01 PM,%RH,99.929
09/08/14 09:27:01 PM,%RH,99.428
09/08/14 09:47:01 PM,%RH,99.929
09/08/14 10:07:01 PM,%RH,99.929
09/08/14 10:27:01 PM,%RH,99.929
09/08/14 10:47:01 PM,%RH,99.929
09/08/14 11:07:01 PM,%RH,99.929
09/08/14 11:27:01 PM,%RH,100.429
09/08/14 11:47:01 PM,%RH,100.927
10/08/14 12:07:01 AM,%RH,101.919
10/08/14 12:27:01 AM,%RH,100.927
10/08/14 12:47:01 AM,%RH,101.423
10/08/14 01:07:01 AM,%RH,102.413
10/08/14 01:27:01 AM,%RH,101.423
10/08/14 01:47:01 AM,%RH,101.919
10/08/14 02:07:01 AM,%RH,102.413
10/08/14 02:27:01 AM,%RH,101.919
10/08/14 02:47:01 AM,%RH,102.413
10/08/14 03:07:01 AM,%RH,100.927
10/08/14 03:27:01 AM,%RH,103.397
10/08/14 03:47:01 AM,%RH,102.905
10/08/14 04:07:01 AM,%RH,101.919
10/08/14 04:27:01 AM,%RH,102.413
10/08/14 04:47:01 AM,%RH,102.905
10/08/14 05:07:01 AM,%RH,102.905
10/08/14 05:27:01 AM,%RH,101.423
10/08/14 05:47:01 AM,%RH,101.919
10/08/14 06:07:01 AM,%RH,102.905
10/08/14 06:27:01 AM,%RH,102.905
10/08/14 06:47:01 AM,%RH,100.927
10/08/14 07:07:01 AM,%RH,93.827
10/08/14 07:27:01 AM,%RH,92.271
10/08/14 07:47:01 AM,%RH,88.059
10/08/14 08:07:01 AM,%RH,79.371
10/08/14 08:27:01 AM,%RH,78.817
10/08/14 08:47:01 AM,%RH,80.477
10/08/14 09:07:01 AM,%RH,84.843
10/08/14 09:27:01 AM,%RH,83.76
10/08/14 09:47:01 AM,%RH,83.76
10/08/14 10:07:01 AM,%RH,78.817
10/08/14 10:27:01 AM,%RH,72.052
10/08/14 10:47:01 AM,%RH,64.5
10/08/14 11:07:01 AM,%RH,66.263
10/08/14 11:27:01 AM,%RH,68.595
10/08/14 11:47:01 AM,%RH,62.724
10/08/14 12:07:01 PM,%RH,57.321
10/08/14 12:27:01 PM,%RH,66.263
10/08/14 12:47:01 PM,%RH,69.175
10/08/14 01:07:01 PM,%RH,64.5
10/08/14 01:27:01 PM,%RH,57.927
10/08/14 01:47:01 PM,%RH,54.271
10/08/14 02:07:01 PM,%RH,57.321
10/08/14 02:27:01 PM,%RH,62.724
10/08/14 02:47:01 PM,%RH,70.906
10/08/14 03:07:01 PM,%RH,72.052
10/08/14 03:27:01 PM,%RH,77.144
10/08/14 03:47:01 PM,%RH,77.703
10/08/14 04:07:01 PM,%RH,81.577
10/08/14 04:27:01 PM,%RH,78.817
10/08/14 04:47:01 PM,%RH,83.76
10/08/14 05:07:01 PM,%RH,88.059
10/08/14 05:27:01 PM,%RH,91.226
10/08/14 05:47:01 PM,%RH,94.343
10/08/14 06:07:01 PM,%RH,95.371
10/08/14 06:27:01 PM,%RH,96.903
10/08/14 06:47:01 PM,%RH,97.917
10/08/14 07:07:01 PM,%RH,98.422
10/08/14 07:27:01 PM,%RH,99.428
