1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 47000000337C3441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:39:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:19:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10722
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:19:01 PM,%RH,100.768
04/08/14 08:39:01 PM,%RH,100.297
04/08/14 08:59:01 PM,%RH,100.297
04/08/14 09:19:01 PM,%RH,100.768
04/08/14 09:39:01 PM,%RH,100.768
04/08/14 09:59:01 PM,%RH,101.705
04/08/14 10:19:01 PM,%RH,101.237
04/08/14 10:39:01 PM,%RH,100.768
04/08/14 10:59:01 PM,%RH,101.237
04/08/14 11:19:01 PM,%RH,101.705
04/08/14 11:39:01 PM,%RH,102.17
04/08/14 11:59:01 PM,%RH,101.237
05/08/14 12:19:01 AM,%RH,101.237
05/08/14 12:39:01 AM,%RH,101.237
05/08/14 12:59:01 AM,%RH,101.705
05/08/14 01:19:01 AM,%RH,101.237
05/08/14 01:39:01 AM,%RH,100.768
05/08/14 01:59:01 AM,%RH,100.768
05/08/14 02:19:01 AM,%RH,101.237
05/08/14 02:39:01 AM,%RH,101.705
05/08/14 02:59:01 AM,%RH,101.705
05/08/14 03:19:01 AM,%RH,101.237
05/08/14 03:39:01 AM,%RH,101.705
05/08/14 03:59:01 AM,%RH,101.705
05/08/14 04:19:01 AM,%RH,102.17
05/08/14 04:39:01 AM,%RH,101.705
05/08/14 04:59:01 AM,%RH,102.17
05/08/14 05:19:01 AM,%RH,102.17
05/08/14 05:39:01 AM,%RH,101.705
05/08/14 05:59:01 AM,%RH,101.705
05/08/14 06:19:01 AM,%RH,101.237
05/08/14 06:39:01 AM,%RH,100.297
05/08/14 06:59:01 AM,%RH,100.297
05/08/14 07:19:01 AM,%RH,100.297
05/08/14 07:39:01 AM,%RH,98.876
05/08/14 07:59:01 AM,%RH,98.876
05/08/14 08:19:01 AM,%RH,98.876
05/08/14 08:39:01 AM,%RH,96.958
05/08/14 08:59:01 AM,%RH,95.016
05/08/14 09:19:01 AM,%RH,93.047
05/08/14 09:39:01 AM,%RH,86.476
05/08/14 09:59:01 AM,%RH,68.595
05/08/14 10:19:01 AM,%RH,70.854
05/08/14 10:39:01 AM,%RH,62.251
05/08/14 10:59:01 AM,%RH,74.195
05/08/14 11:19:01 AM,%RH,75.296
05/08/14 11:39:01 AM,%RH,65.158
05/08/14 11:59:01 AM,%RH,66.31
05/08/14 12:19:01 PM,%RH,70.291
05/08/14 12:39:01 PM,%RH,65.158
05/08/14 12:59:01 PM,%RH,54.508
05/08/14 01:19:01 PM,%RH,59.305
05/08/14 01:39:01 PM,%RH,74.195
05/08/14 01:59:01 PM,%RH,71.974
05/08/14 02:19:01 PM,%RH,67.456
05/08/14 02:39:01 PM,%RH,59.897
05/08/14 02:59:01 PM,%RH,62.836
05/08/14 03:19:01 PM,%RH,60.488
05/08/14 03:39:01 PM,%RH,62.251
05/08/14 03:59:01 PM,%RH,72.532
05/08/14 04:19:01 PM,%RH,73.642
05/08/14 04:39:01 PM,%RH,81.77
05/08/14 04:59:01 PM,%RH,85.442
05/08/14 05:19:01 PM,%RH,88.016
05/08/14 05:39:01 PM,%RH,91.054
05/08/14 05:59:01 PM,%RH,94.526
05/08/14 06:19:01 PM,%RH,97.92
05/08/14 06:39:01 PM,%RH,97.44
05/08/14 06:59:01 PM,%RH,98.399
05/08/14 07:19:01 PM,%RH,98.876
05/08/14 07:39:01 PM,%RH,98.876
05/08/14 07:59:01 PM,%RH,98.876
05/08/14 08:19:01 PM,%RH,98.399
05/08/14 08:39:01 PM,%RH,98.876
05/08/14 08:59:01 PM,%RH,100.297
05/08/14 09:19:01 PM,%RH,99.825
05/08/14 09:39:01 PM,%RH,97.92
05/08/14 09:59:01 PM,%RH,99.825
05/08/14 10:19:01 PM,%RH,98.876
05/08/14 10:39:01 PM,%RH,98.399
05/08/14 10:59:01 PM,%RH,98.399
05/08/14 11:19:01 PM,%RH,97.44
05/08/14 11:39:01 PM,%RH,98.876
05/08/14 11:59:01 PM,%RH,98.876
06/08/14 12:19:01 AM,%RH,99.825
06/08/14 12:39:01 AM,%RH,100.297
06/08/14 12:59:01 AM,%RH,98.399
06/08/14 01:19:01 AM,%RH,99.825
06/08/14 01:39:01 AM,%RH,99.825
06/08/14 01:59:01 AM,%RH,100.297
06/08/14 02:19:01 AM,%RH,101.237
06/08/14 02:39:01 AM,%RH,100.768
06/08/14 02:59:01 AM,%RH,101.237
06/08/14 03:19:01 AM,%RH,100.768
06/08/14 03:39:01 AM,%RH,100.297
06/08/14 03:59:01 AM,%RH,101.237
06/08/14 04:19:01 AM,%RH,102.635
06/08/14 04:39:01 AM,%RH,101.237
06/08/14 04:59:01 AM,%RH,100.768
06/08/14 05:19:01 AM,%RH,100.768
06/08/14 05:39:01 AM,%RH,101.237
06/08/14 05:59:01 AM,%RH,100.768
06/08/14 06:19:01 AM,%RH,101.705
06/08/14 06:39:01 AM,%RH,99.825
06/08/14 06:59:01 AM,%RH,99.351
06/08/14 07:19:01 AM,%RH,99.825
06/08/14 07:39:01 AM,%RH,101.237
06/08/14 07:59:01 AM,%RH,101.705
06/08/14 08:19:01 AM,%RH,100.297
06/08/14 08:39:01 AM,%RH,99.825
06/08/14 08:59:01 AM,%RH,99.351
06/08/14 09:19:01 AM,%RH,97.92
06/08/14 09:39:01 AM,%RH,92.551
06/08/14 09:59:01 AM,%RH,86.991
06/08/14 10:19:01 AM,%RH,76.391
06/08/14 10:39:01 AM,%RH,76.936
06/08/14 10:59:01 AM,%RH,78.022
06/08/14 11:19:01 AM,%RH,61.665
06/08/14 11:39:01 AM,%RH,61.077
06/08/14 11:59:01 AM,%RH,71.415
06/08/14 12:19:01 PM,%RH,73.642
06/08/14 12:39:01 PM,%RH,81.24
06/08/14 12:59:01 PM,%RH,84.401
06/08/14 01:19:01 PM,%RH,85.442
06/08/14 01:39:01 PM,%RH,73.642
06/08/14 01:59:01 PM,%RH,76.391
06/08/14 02:19:01 PM,%RH,82.827
06/08/14 02:39:01 PM,%RH,68.026
06/08/14 02:59:01 PM,%RH,70.854
06/08/14 03:19:01 PM,%RH,80.707
06/08/14 03:39:01 PM,%RH,75.296
06/08/14 03:59:01 PM,%RH,80.173
06/08/14 04:19:01 PM,%RH,82.3
06/08/14 04:39:01 PM,%RH,85.96
06/08/14 04:59:01 PM,%RH,90.552
06/08/14 05:19:01 PM,%RH,92.551
06/08/14 05:39:01 PM,%RH,93.542
06/08/14 05:59:01 PM,%RH,96.475
06/08/14 06:19:01 PM,%RH,98.399
06/08/14 06:39:01 PM,%RH,98.399
06/08/14 06:59:01 PM,%RH,98.399
06/08/14 07:19:01 PM,%RH,99.351
06/08/14 07:39:01 PM,%RH,99.351
06/08/14 07:59:01 PM,%RH,100.297
06/08/14 08:19:01 PM,%RH,99.825
06/08/14 08:39:01 PM,%RH,99.825
06/08/14 08:59:01 PM,%RH,99.825
06/08/14 09:19:01 PM,%RH,99.351
06/08/14 09:39:01 PM,%RH,99.825
06/08/14 09:59:01 PM,%RH,100.297
06/08/14 10:19:01 PM,%RH,100.768
06/08/14 10:39:01 PM,%RH,100.768
06/08/14 10:59:01 PM,%RH,100.768
06/08/14 11:19:01 PM,%RH,99.825
06/08/14 11:39:01 PM,%RH,100.768
06/08/14 11:59:01 PM,%RH,101.237
07/08/14 12:19:01 AM,%RH,101.237
07/08/14 12:39:01 AM,%RH,99.825
07/08/14 12:59:01 AM,%RH,101.237
07/08/14 01:19:01 AM,%RH,101.237
07/08/14 01:39:01 AM,%RH,100.297
07/08/14 01:59:01 AM,%RH,101.237
07/08/14 02:19:01 AM,%RH,101.237
07/08/14 02:39:01 AM,%RH,101.237
07/08/14 02:59:01 AM,%RH,101.237
07/08/14 03:19:01 AM,%RH,101.705
07/08/14 03:39:01 AM,%RH,100.768
07/08/14 03:59:01 AM,%RH,100.768
07/08/14 04:19:01 AM,%RH,101.237
07/08/14 04:39:01 AM,%RH,101.237
07/08/14 04:59:01 AM,%RH,101.237
07/08/14 05:19:01 AM,%RH,101.705
07/08/14 05:39:01 AM,%RH,101.237
07/08/14 05:59:01 AM,%RH,101.705
07/08/14 06:19:01 AM,%RH,100.768
07/08/14 06:39:01 AM,%RH,100.768
07/08/14 06:59:01 AM,%RH,101.237
07/08/14 07:19:01 AM,%RH,99.825
07/08/14 07:39:01 AM,%RH,100.297
07/08/14 07:59:01 AM,%RH,99.825
07/08/14 08:19:01 AM,%RH,95.504
07/08/14 08:39:01 AM,%RH,90.048
07/08/14 08:59:01 AM,%RH,87.505
07/08/14 09:19:01 AM,%RH,89.035
07/08/14 09:39:01 AM,%RH,79.638
07/08/14 09:59:01 AM,%RH,62.251
07/08/14 10:19:01 AM,%RH,58.711
07/08/14 10:39:01 AM,%RH,60.488
07/08/14 10:59:01 AM,%RH,62.251
07/08/14 11:19:01 AM,%RH,59.305
07/08/14 11:39:01 AM,%RH,52.071
07/08/14 11:59:01 AM,%RH,56.919
07/08/14 12:19:01 PM,%RH,60.488
07/08/14 12:39:01 PM,%RH,56.318
07/08/14 12:59:01 PM,%RH,56.318
07/08/14 01:19:01 PM,%RH,56.318
07/08/14 01:39:01 PM,%RH,55.113
07/08/14 01:59:01 PM,%RH,67.456
07/08/14 02:19:01 PM,%RH,56.318
07/08/14 02:39:01 PM,%RH,59.897
07/08/14 02:59:01 PM,%RH,61.665
07/08/14 03:19:01 PM,%RH,58.711
07/08/14 03:39:01 PM,%RH,57.518
07/08/14 03:59:01 PM,%RH,58.115
07/08/14 04:19:01 PM,%RH,62.251
07/08/14 04:39:01 PM,%RH,75.296
07/08/14 04:59:01 PM,%RH,80.707
07/08/14 05:19:01 PM,%RH,88.016
07/08/14 05:39:01 PM,%RH,91.555
07/08/14 05:59:01 PM,%RH,94.526
07/08/14 06:19:01 PM,%RH,96.475
07/08/14 06:39:01 PM,%RH,98.876
07/08/14 06:59:01 PM,%RH,98.876
07/08/14 07:19:01 PM,%RH,97.44
07/08/14 07:39:01 PM,%RH,98.399
07/08/14 07:59:01 PM,%RH,99.351
07/08/14 08:19:01 PM,%RH,97.92
07/08/14 08:39:01 PM,%RH,97.44
07/08/14 08:59:01 PM,%RH,97.92
07/08/14 09:19:01 PM,%RH,97.92
07/08/14 09:39:01 PM,%RH,98.876
07/08/14 09:59:01 PM,%RH,98.876
07/08/14 10:19:01 PM,%RH,98.399
07/08/14 10:39:01 PM,%RH,98.876
07/08/14 10:59:01 PM,%RH,97.92
07/08/14 11:19:01 PM,%RH,99.351
07/08/14 11:39:01 PM,%RH,99.825
07/08/14 11:59:01 PM,%RH,99.825
08/08/14 12:19:01 AM,%RH,100.768
08/08/14 12:39:01 AM,%RH,101.237
08/08/14 12:59:01 AM,%RH,101.237
08/08/14 01:19:01 AM,%RH,99.825
08/08/14 01:39:01 AM,%RH,99.351
08/08/14 01:59:01 AM,%RH,100.297
08/08/14 02:19:01 AM,%RH,99.825
08/08/14 02:39:01 AM,%RH,100.297
08/08/14 02:59:01 AM,%RH,100.768
08/08/14 03:19:01 AM,%RH,100.768
08/08/14 03:39:01 AM,%RH,99.351
08/08/14 03:59:01 AM,%RH,100.768
08/08/14 04:19:01 AM,%RH,100.768
08/08/14 04:39:01 AM,%RH,100.768
08/08/14 04:59:01 AM,%RH,100.768
08/08/14 05:19:01 AM,%RH,100.297
08/08/14 05:39:01 AM,%RH,100.768
08/08/14 05:59:01 AM,%RH,100.768
08/08/14 06:19:01 AM,%RH,100.768
08/08/14 06:39:01 AM,%RH,100.768
08/08/14 06:59:01 AM,%RH,100.297
08/08/14 07:19:01 AM,%RH,101.237
08/08/14 07:39:01 AM,%RH,100.297
08/08/14 07:59:01 AM,%RH,101.237
08/08/14 08:19:01 AM,%RH,100.768
08/08/14 08:39:01 AM,%RH,99.825
08/08/14 08:59:01 AM,%RH,100.297
08/08/14 09:19:01 AM,%RH,100.297
08/08/14 09:39:01 AM,%RH,100.297
08/08/14 09:59:01 AM,%RH,100.297
08/08/14 10:19:01 AM,%RH,100.297
08/08/14 10:39:01 AM,%RH,98.399
08/08/14 10:59:01 AM,%RH,99.825
08/08/14 11:19:01 AM,%RH,99.825
08/08/14 11:39:01 AM,%RH,98.399
08/08/14 11:59:01 AM,%RH,98.399
08/08/14 12:19:01 PM,%RH,99.351
08/08/14 12:39:01 PM,%RH,99.351
08/08/14 12:59:01 PM,%RH,97.44
08/08/14 01:19:01 PM,%RH,94.035
08/08/14 01:39:01 PM,%RH,92.054
08/08/14 01:59:01 PM,%RH,94.035
08/08/14 02:19:01 PM,%RH,95.504
08/08/14 02:39:01 PM,%RH,95.504
08/08/14 02:59:01 PM,%RH,97.44
08/08/14 03:19:01 PM,%RH,97.92
08/08/14 03:39:01 PM,%RH,98.876
08/08/14 03:59:01 PM,%RH,100.768
08/08/14 04:19:01 PM,%RH,100.297
08/08/14 04:39:01 PM,%RH,100.768
08/08/14 04:59:01 PM,%RH,100.768
08/08/14 05:19:01 PM,%RH,100.768
08/08/14 05:39:01 PM,%RH,99.825
08/08/14 05:59:01 PM,%RH,100.768
08/08/14 06:19:01 PM,%RH,100.768
08/08/14 06:39:01 PM,%RH,100.768
08/08/14 06:59:01 PM,%RH,101.237
08/08/14 07:19:01 PM,%RH,100.768
08/08/14 07:39:01 PM,%RH,99.825
08/08/14 07:59:01 PM,%RH,101.237
08/08/14 08:19:01 PM,%RH,100.768
08/08/14 08:39:01 PM,%RH,101.705
08/08/14 08:59:01 PM,%RH,100.768
08/08/14 09:19:01 PM,%RH,101.237
08/08/14 09:39:01 PM,%RH,101.237
08/08/14 09:59:01 PM,%RH,101.237
08/08/14 10:19:01 PM,%RH,101.705
08/08/14 10:39:01 PM,%RH,101.705
08/08/14 10:59:01 PM,%RH,101.237
08/08/14 11:19:01 PM,%RH,101.705
08/08/14 11:39:01 PM,%RH,101.705
08/08/14 11:59:01 PM,%RH,102.17
09/08/14 12:19:01 AM,%RH,102.17
09/08/14 12:39:01 AM,%RH,102.17
09/08/14 12:59:01 AM,%RH,101.237
09/08/14 01:19:01 AM,%RH,101.705
09/08/14 01:39:01 AM,%RH,101.237
09/08/14 01:59:01 AM,%RH,101.237
09/08/14 02:19:01 AM,%RH,102.17
09/08/14 02:39:01 AM,%RH,101.237
09/08/14 02:59:01 AM,%RH,102.17
09/08/14 03:19:01 AM,%RH,101.705
09/08/14 03:39:01 AM,%RH,101.705
09/08/14 03:59:01 AM,%RH,102.17
09/08/14 04:19:01 AM,%RH,101.705
09/08/14 04:39:01 AM,%RH,102.17
09/08/14 04:59:01 AM,%RH,101.705
09/08/14 05:19:01 AM,%RH,102.17
09/08/14 05:39:01 AM,%RH,101.237
09/08/14 05:59:01 AM,%RH,102.17
09/08/14 06:19:01 AM,%RH,101.237
09/08/14 06:39:01 AM,%RH,101.237
09/08/14 06:59:01 AM,%RH,101.237
09/08/14 07:19:01 AM,%RH,100.768
09/08/14 07:39:01 AM,%RH,100.768
09/08/14 07:59:01 AM,%RH,99.825
09/08/14 08:19:01 AM,%RH,98.876
09/08/14 08:39:01 AM,%RH,98.399
09/08/14 08:59:01 AM,%RH,98.399
09/08/14 09:19:01 AM,%RH,90.048
09/08/14 09:39:01 AM,%RH,80.173
09/08/14 09:59:01 AM,%RH,71.415
09/08/14 10:19:01 AM,%RH,70.291
09/08/14 10:39:01 AM,%RH,62.251
09/08/14 10:59:01 AM,%RH,63.419
09/08/14 11:19:01 AM,%RH,61.077
09/08/14 11:39:01 AM,%RH,51.458
09/08/14 11:59:01 AM,%RH,62.251
09/08/14 12:19:01 PM,%RH,58.711
09/08/14 12:39:01 PM,%RH,55.113
09/08/14 12:59:01 PM,%RH,57.518
09/08/14 01:19:01 PM,%RH,66.31
09/08/14 01:39:01 PM,%RH,64
09/08/14 01:59:01 PM,%RH,71.415
09/08/14 02:19:01 PM,%RH,76.936
09/08/14 02:39:01 PM,%RH,76.391
09/08/14 02:59:01 PM,%RH,82.3
09/08/14 03:19:01 PM,%RH,86.476
09/08/14 03:39:01 PM,%RH,85.96
09/08/14 03:59:01 PM,%RH,85.96
09/08/14 04:19:01 PM,%RH,89.035
09/08/14 04:39:01 PM,%RH,90.048
09/08/14 04:59:01 PM,%RH,93.542
09/08/14 05:19:01 PM,%RH,94.035
09/08/14 05:39:01 PM,%RH,94.526
09/08/14 05:59:01 PM,%RH,95.99
09/08/14 06:19:01 PM,%RH,97.92
09/08/14 06:39:01 PM,%RH,98.876
09/08/14 06:59:01 PM,%RH,98.876
09/08/14 07:19:01 PM,%RH,98.876
09/08/14 07:39:01 PM,%RH,97.44
09/08/14 07:59:01 PM,%RH,99.351
09/08/14 08:19:01 PM,%RH,100.297
09/08/14 08:39:01 PM,%RH,97.92
09/08/14 08:59:01 PM,%RH,98.876
09/08/14 09:19:01 PM,%RH,98.876
09/08/14 09:39:01 PM,%RH,98.876
09/08/14 09:59:01 PM,%RH,98.399
09/08/14 10:19:01 PM,%RH,99.825
09/08/14 10:39:01 PM,%RH,98.876
09/08/14 10:59:01 PM,%RH,99.351
